ID,Type,Source
0,2,Andrei picked up the chair or the bag and the telescope
1,2,Danny held the chair or the bag and the telescope
2,2,Danny moved the chair or the bag and the telescope
3,2,Andrei held the telescope or the chair and the bag
4,2,Andrei and Danny moved the yellow bag and chair
5,2,Andrei and Danny held the green chair and bag
6,2,Andrei and Danny put down the yellow chair and bag
7,2,Danny held the chair or the telescope and the bag
8,2,Danny moved the bag or the chair and the telescope
9,2,Andrei and Danny picked up the green bag and chair
10,2,Andrei picked up the chair or the telescope and the bag
11,2,Andrei and Danny moved the yellow chair and bag
12,2,Andrei and Danny picked up the yellow bag and chair
13,2,Andrei and Danny moved the green chair and bag
14,2,Andrei and Danny picked up the yellow chair and bag
15,2,Andrei moved the chair or the telescope and the bag
16,2,Danny held the telescope or the chair and the bag
17,2,Andrei and Danny held the yellow bag and chair
18,2,Andrei and Danny picked up the green chair and bag
19,2,Danny moved the telescope or the chair and the bag
20,2,Andrei and Danny put down the green bag and chair
21,2,Andrei and Danny put down the green chair and bag
22,2,Andrei moved the chair or the bag and the telescope
23,2,Andrei picked up the telescope or the chair and the bag
24,2,Danny picked up the bag or the chair and the telescope
25,2,Danny held the bag or the chair and the telescope
26,2,Danny picked up the telescope or the chair and the bag
27,2,Danny picked up the chair or the telescope and the bag
28,2,Andrei picked up the bag or the chair and the telescope
29,2,Danny moved the chair or the telescope and the bag
30,2,Andrei and Danny put down the yellow bag and chair
31,2,Andrei and Danny moved the green bag and chair
32,2,Andrei moved the bag or the chair and the telescope
33,2,Danny picked up the chair or the bag and the telescope
34,2,Andrei and Danny held the green bag and chair
35,2,Andrei and Danny held the yellow chair and bag
36,2,Andrei held the chair or the bag and the telescope
37,2,Andrei moved the telescope or the chair and the bag
38,2,Andrei held the bag or the chair and the telescope
39,2,Andrei held the chair or the telescope and the bag
40,2,Andrei approached the person with a green chair
41,2,Andrei left the person with a green bag
42,2,Andrei looked at Danny moving a blue telescope
43,2,Danny looked at Andrei holding a green chair
44,2,Danny looked at Andrei with a telescope
45,2,Andrei looked at Danny putting down a yellow chair
46,2,Andrei approached the person holding a yellow chair
47,2,Andrei looked at Danny picking up a yellow chair
48,2,Danny looked at Andrei moving a green bag
49,2,Danny approached the chair with a yellow bag
50,2,Danny looked at Andrei putting down a blue telescope
51,2,Andrei approached the person with a yellow bag
52,2,Danny left the person holding a blue telescope
53,2,Andrei looked at Danny picking up a green chair
54,2,Danny approached the person with a yellow chair
55,2,Danny looked at Andrei moving a yellow chair
56,2,Andrei left the person holding a yellow chair
57,2,Danny looked at Andrei picking up a blue telescope
58,2,Andrei left the person with a green chair
59,2,Andrei looked at Danny putting down a green chair
60,2,Andrei moved the telescope on the chair
61,2,Danny approached the person with a blue telescope
62,2,Andrei moved the telescope on the bag
63,2,Danny looked at the green bag with a telescope
64,2,Danny looked at Andrei putting down a green bag
65,2,Andrei looked at Danny picking up a green bag
66,2,Danny looked at Andrei moving a green chair
67,2,Danny looked at Andrei picking up a green bag
68,2,Danny approached the chair with a blue telescope
69,2,Danny moved the telescope on the bag
70,2,Andrei looked at Danny putting down a blue telescope
71,2,Danny left the chair with a green bag
72,2,Danny left the person with a blue telescope
73,2,Andrei looked at Danny moving a green bag
74,2,Andrei looked at Danny putting down a green bag
75,2,Andrei left the chair with a blue telescope
76,2,Danny left the person with a yellow bag
77,2,Danny left the person holding a yellow chair
78,2,Danny left the chair with a yellow bag
79,2,Danny left the person with a green bag
80,2,Andrei looked at Danny holding a yellow chair
81,2,Andrei looked at Danny picking up a blue telescope
82,2,Danny looked at Andrei holding a yellow chair
83,2,Danny left the person with a yellow chair
84,2,Danny looked at Andrei picking up a yellow chair
85,2,Danny approached the person with a yellow bag
86,2,Danny left the person holding a green chair
87,2,Danny moved the telescope on the chair
88,2,Andrei approached the person holding a green chair
89,2,Andrei left the person holding a green bag
90,2,Danny approached the person holding a yellow chair
91,2,Danny approached the person with a green chair
92,2,Danny looked at Andrei holding a yellow bag
93,2,Andrei looked at the yellow chair with a telescope
94,2,Andrei looked at Danny putting down a yellow bag
95,2,Andrei looked at Danny moving a green chair
96,2,Andrei approached the person holding a blue telescope
97,2,Andrei approached the person with a yellow chair
98,2,Andrei left the person holding a green chair
99,2,Andrei looked at Danny with a telescope
100,2,Andrei left the person with a yellow bag
101,2,Danny looked at the green chair with a telescope
102,2,Andrei looked at Danny holding a blue telescope
103,2,Danny looked at Andrei holding a blue telescope
104,2,Andrei looked at Danny holding a green chair
105,2,Andrei approached the person with a blue telescope
106,2,Andrei left the person holding a blue telescope
107,2,Danny approached the person holding a yellow bag
108,2,Danny left the person with a green chair
109,2,Andrei looked at the green chair with a telescope
110,2,Andrei approached the chair with a yellow bag
111,2,Danny left the person holding a yellow bag
112,2,Andrei looked at Danny moving a yellow bag
113,2,Danny looked at Andrei putting down a yellow chair
114,2,Danny looked at the yellow chair with a telescope
115,2,Danny moved the bag on the chair
116,2,Danny looked at the yellow bag with a telescope
117,2,Danny looked at Andrei putting down a green chair
118,2,Andrei left the chair with a green bag
119,2,Andrei looked at Danny moving a yellow chair
120,2,Danny approached the person holding a green bag
121,2,Andrei approached the person holding a green bag
122,2,Danny looked at Andrei putting down a yellow bag
123,2,Andrei looked at the green bag with a telescope
124,2,Danny approached the person holding a green chair
125,2,Andrei looked at the yellow bag with a telescope
126,2,Andrei looked at Danny holding a green bag
127,2,Andrei approached the person holding a yellow bag
128,2,Danny looked at Andrei moving a blue telescope
129,2,Danny looked at Andrei picking up a yellow bag
130,2,Andrei left the person holding a yellow bag
131,2,Danny looked at Andrei holding a green bag
132,2,Danny looked at Andrei picking up a green chair
133,2,Andrei approached the chair with a green bag
134,2,Andrei approached the chair with a blue telescope
135,2,Danny approached the person with a green bag
136,2,Andrei left the person with a yellow chair
137,2,Andrei moved the bag on the chair
138,2,Andrei left the person with a blue telescope
139,2,Danny looked at Andrei moving a yellow bag
140,2,Danny approached the chair with a green bag
141,2,Danny approached the person holding a blue telescope
142,2,Danny left the chair with a blue telescope
143,2,Andrei looked at Danny holding a yellow bag
144,2,Andrei left the chair with a yellow bag
145,2,Andrei approached the person with a green bag
146,2,Andrei looked at Danny picking up a yellow bag
147,2,Danny left the person holding a green bag
148,1,Yevgeni approached Andrei; Danny too
149,1,Danny left Yevgeni; Andrei too
150,1,Someone held the bags
151,3,Danny left Andrei; he held a telescope
152,3,Andrei approached the bag and the chair; it was yellow
153,1,Andrei looked at Danny; Yevgeni too
154,3,Andrei left the bag and the chair; it was green
155,1,Someone moved the bags
156,1,Andrei left Yevgeni; Danny too
157,1,Andrei and Danny put down a yellow chair
158,1,Andrei and Danny left a green bag
159,1,Andrei and Danny put down a yellow bag
160,3,Andrei left Danny; he held a telescope
161,1,Danny left Andrei; Yevgeni too
162,1,Yevgeni looked at Andrei; Danny too
163,1,Andrei and Danny put down a green chair
164,3,Andrei approached Danny; he held a chair
165,1,Andrei and Danny held a green chair
166,1,Andrei approached Danny; Yevgeni too
167,3,Danny left Andrei; he held a chair
168,1,Andrei and Danny picked up a green chair
169,3,Andrei left the bag and the chair; it was yellow
170,1,Someone left the chairs
171,1,Danny approached Yevgeni; Andrei too
172,1,Yevgeni left Danny; Andrei too
173,1,Yevgeni looked at Danny; Andrei too
174,1,Andrei and Danny left a yellow chair
175,1,Andrei and Danny held a yellow bag
176,1,Andrei and Danny approached a green bag
177,1,Danny looked at Yevgeni; Andrei too
178,3,Danny approached Andrei; he held a telescope
179,1,Someone moved the chairs
180,1,Andrei and Danny left a yellow bag
181,3,Danny approached the bag and the chair; it was green
182,1,Danny looked at Andrei; Yevgeni too
183,1,Someone approached the bags
184,1,Andrei approached Yevgeni; Danny too
185,1,Someone put down the chairs
186,1,Someone approached the chairs
187,1,Andrei and Danny picked up a green bag
188,3,Andrei moved the bag and the chair; it was yellow
189,1,Andrei and Danny left a green chair
190,1,Andrei and Danny approached a green chair
191,3,Andrei moved the bag and the chair; it was green
192,3,Danny left the bag and the chair; it was yellow
193,1,Andrei and Danny put down a green bag
194,1,Andrei looked at Yevgeni; Danny too
195,1,Yevgeni left Andrei; Danny too
